_id,created_at,updated_at,@context,@type,name,url,floorSize.@type,floorSize.value,floorSize.unitCode,address.@type,address.addressLocality,address.addressRegion,address.postalCode,geo.@type,geo.addressCountry,geo.latitude,geo.longitude,geo.postalCode,image,announce_detail.rooms,announce_detail.bead_rooms,announce_detail.bathroom,announce_detail.shower_room,announce_detail.price,announce_detail.price_m2,announce_detail.dpe,announce_detail.ges
6591b9fc6aea9bf2410bf11b,2023-12-31 18:59:08.039,2023-12-31 18:59:08.039,https://schema.org,SingleFamilyResidence,appartement 19.2M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-63723630.html,QuantitativeValue,19.200000762939453,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06200,GeoCoordinates,France,43.67515,7.22721,F-06200,https://lh3.googleusercontent.com/Kb_YjTVUj128eR0wg5dYcnGqXC1zEnFo2C0F73hM3d2elQdbAL16ucjMPFx-Se7_KnjqnZx7TL230RkZlqzlc4hsATE_KSO6FaCJ9Q=rj-w350-h264-l80,1,0,0,0,112846,5877,A,A
6591ba0b6aea9bf2410bf11c,2023-12-31 18:59:23.344,2023-12-31 18:59:23.344,https://schema.org,SingleFamilyResidence,appartement 80M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64150798.html,QuantitativeValue,80.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.7,7.25,F-06000,https://lh3.googleusercontent.com/jdL7960mun4gRNTGTqx5s6OaSAEweGHZazVtt2fB1aJ8onYHvWsg3bDKLObyyuej7T1fugcSEsITxZS1k-98FPSq_LWJhJdWs1EUsqY=rj-w350-h264-l80,4,0,0,1,1025000,12813,F,F
6591ba0d6aea9bf2410bf11d,2023-12-31 18:59:25.252,2023-12-31 18:59:25.252,https://schema.org,SingleFamilyResidence,appartement 142M2 à Nice (06),https://proprietes.lefigaro.fr/annonces/appartement-alpes+maritimes-provence+alpes+cote+d+azur-france/64789230/,QuantitativeValue,142.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.68123,7.23203,F-06000,https://lh3.googleusercontent.com/VzkmKEaQAOyKTdVOygfFbqcEnjcTCRZDCVkfy4DQGpNkVN8SvE4K8rsefGI9v8Ocy5nTGXoxFvzawpNLXFmwmSRmd6KLbc8dC7UX=rj-w350-h264-l80,0,0,0,0,0,0,F,F
6591ba116aea9bf2410bf11e,2023-12-31 18:59:29.888,2023-12-31 18:59:29.888,https://schema.org,SingleFamilyResidence,appartement 75M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64783340.html,QuantitativeValue,75.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.7,7.25,F-06000,https://lh3.googleusercontent.com/586Zy8FWqW87xHoJ4YkVxsQSFc5YWa8Y7M5_24-t5SbF4vZGGyaot59PoTwLhyHabyXP7K-qzcqPXqwAXe9dNdSeyz_QWs8baFreKSY=rj-w350-h264-l80,3,2,0,0,578000,7707,B,B
6591ba156aea9bf2410bf11f,2023-12-31 18:59:33.874,2023-12-31 18:59:33.874,https://schema.org,SingleFamilyResidence,appartement 60M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64783358.html,QuantitativeValue,60.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.7,7.25,F-06300,https://lh3.googleusercontent.com/z24Gqbw-B8Y2kGL60UVEtUnNRR-_qDP49rM6jdZ0-pTEheckLO-BuFgNriKlwNzxvRlhkUFa5HJwJoLyMadxv2n3emCzlbXFNfl2_A=rj-w350-h264-l80,3,2,0,1,350000,5833,B,B
6591ba196aea9bf2410bf120,2023-12-31 18:59:37.878,2023-12-31 18:59:37.878,https://schema.org,SingleFamilyResidence,appartement 65M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64783372.html,QuantitativeValue,65.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.7,7.25,F-06300,https://lh3.googleusercontent.com/nR8NtM6QcZMuSG3k0gq6VTyFSYONHoE05QjUdycXNKZRlFXmbjjMKLmOFyzHP1-xaH_e0LdiJeJqUSe3Y8deeyRGafoA5pmYaVMu=rj-w350-h264-l80,3,2,0,1,395000,6077,B,B
6591ba1f6aea9bf2410bf121,2023-12-31 18:59:43.245,2023-12-31 18:59:43.245,https://schema.org,SingleFamilyResidence,appartement 115M2 à Nice (06),https://proprietes.lefigaro.fr/annonces/appartement-alpes+maritimes-provence+alpes+cote+d+azur-france/64789212/,QuantitativeValue,115.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.71285,7.25387,F-06000,https://lh3.googleusercontent.com/fsMZuojnWvDLwPR_55pEfOBJhUdUFt0FVbcRWxOcFkm8-JLL6iCGlqPSi58nuqvNtFZiGrbR16myJGJQelQ_DAkWE1le6sRknTPCEA=rj-w350-h264-l80,0,0,0,0,0,0,F,F
6591ba236aea9bf2410bf122,2023-12-31 18:59:47.197,2023-12-31 18:59:47.197,https://schema.org,SingleFamilyResidence,appartement 90M2 à Nice (06),https://proprietes.lefigaro.fr/annonces/appartement-alpes+maritimes-provence+alpes+cote+d+azur-france/61370398/,QuantitativeValue,90.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06300,GeoCoordinates,France,43.7,7.25,F-06300,https://lh3.googleusercontent.com/JRmLXXtmXoOhLvNraFeZEvwkEbqvnJPjC3YyHFp6tcA5m8z1FiJjSKQSa2ge2oIr3wZWHRd87zWM3YxcTKQ20Gp39XbLTMHVmOa5Kg=rj-w350-h264-l80,0,0,0,0,0,0,F,F
6591ba276aea9bf2410bf123,2023-12-31 18:59:51.225,2023-12-31 18:59:51.225,https://schema.org,SingleFamilyResidence,appartement 50M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64783374.html,QuantitativeValue,50.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.7,7.25,F-06000,https://lh3.googleusercontent.com/cl0Cj0sw--lRLVCi216l998vaLWGtwor9BQjqiG5-ghbSySmvF9GsxxxIlV_9JSFvSrORjqYh_8kwxh2bvfYoeYz9COS8KDF9ON58dk=rj-w350-h264-l80,2,1,0,1,395000,7900,B,B
6591ba2b6aea9bf2410bf124,2023-12-31 18:59:55.194,2023-12-31 18:59:55.194,https://schema.org,SingleFamilyResidence,appartement 85M2 à Nice (06),https://immobilier.lefigaro.fr/annonces/annonce-64783382.html,QuantitativeValue,85.0,MTK,PostalAddress,Nice (06),Alpes-Maritimes,F-06000,GeoCoordinates,France,43.7,7.25,F-06000,https://lh3.googleusercontent.com/VWiiAYDzFLk4E2pTEuyHR0Ak7qYGWT2Q1PX5U6b0nXTlgVKNVfgua35Rke9_WRsJlaVrJllJru4SiQSbaQgR5T-qczhOgg9afjrp=rj-w350-h264-l80,4,3,1,1,395000,4647,B,B
